dilirank_name,Z_mito,k_mito,Z_bile,k_bile,Z_reactive,k_reactive,Proposed_Mechanism,Max_Z_Mech,is_dili,tmc_prob,Mechanism_Declaration
Clomipramine hydrochloride,-0.2560101785464095,0,-0.2038210654133459,0,-0.2439750182371333,0,Unexplained,-0.2038210654133459,1,0.679545816555731,Unexplained / Idiosyncratic
Clonazepam,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.7234149143115359,Unexplained / Idiosyncratic
Clotrimazole,-0.2337042495679893,0,-0.186062325369376,0,-0.2227177015936869,0,Unexplained,-0.186062325369376,1,0.6817598984192909,Unexplained / Idiosyncratic
Cloxacillin sodium,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,1,0.654569338485429,Unexplained / Idiosyncratic
Clozapine,-0.6003970880646444,0,-0.47800276869938,0,-0.5721721352713293,0,Unexplained,-0.47800276869938,1,0.7860621342243692,Unexplained / Idiosyncratic
Codeine sulfate,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,0,0.3847346845145528,Unexplained / Idiosyncratic
Colistimethate sodium,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.2913758568871541,Unexplained / Idiosyncratic
Conivaptan hydrochloride,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.5759563748593712,Unexplained / Idiosyncratic
Copper cu-64 dotatate,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.2036300709948002,Unexplained / Idiosyncratic
Corticorelin ovine triflutate,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.2661383214272977,Unexplained / Idiosyncratic
Corticotropin,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.2158611294210095,Unexplained / Idiosyncratic
